ID,Address_x,Size,Price,Rooms,Floor,Quality,Inner Height,Heating,Furnished,Balcony,Pet,Year Built,Floors,Lift,Orientation,View,kerület,Raw Address,Address_y,lat,lon
32043800," Máriássy utca, IX. kerület",38,159000.0,2,1,newly built,not defined,házközponti egyedi méréssel,furnished,5.0,not allowed,2020,9,yes,not defined,courtyard,IX," Máriássy utca, "," Máriássy utca, ",47.4687797,19.0759783
32043811," Bogdáni út 24, III. kerület",37,125000.0,2,2,renovated,more than 3m,"gáz (konvektor), padlófűtés",furnished,not defined,not allowed,not defined,3,no,not defined,courtyard,III," Bogdáni út 24, "," Bogdáni út 24, ",47.54992845,19.0370392621538
32043812," Corvin sétány, VIII. kerület",50,195000.0,2,not defined,not defined,not defined,nincs megadva,not defined,6.0,not defined,not defined,not defined,not defined,not defined,not defined,VIII," Corvin sétány, "," Corvin sétány, ",47.485899599999996,19.07519187896299
32043825," Bokréta utca 4, IX. kerület",30,95000.0,1,2,in good condition,less than 3m,gáz (cirko),partly furnished,not defined,not allowed,not defined,not defined,yes,not defined,street,IX," Bokréta utca 4, "," Bokréta utca 4, ",46.0583663,18.231674849999997
32043844," Zsókavár utca, XV. kerület",47,130000.0,2,5,renovated,not defined,távfűtés egyedi méréssel,partly furnished,not defined,not defined,not defined,10,yes,not defined,street,XV," Zsókavár utca, "," Zsókavár utca, ",47.5401128,19.1443446
32043851," Külső Szilágyi út, IV. kerület",36,110000.0,2,7,in good condition,not defined,távfűtés,partly furnished,not defined,not defined,not defined,10,yes,south west,panoramic,IV," Külső Szilágyi út, "," Külső Szilágyi út, ",47.5932454,19.1201214
32043887," Újlipótváros, XIII. kerület",67,150000.0,2,2,renovated,not defined,gáz (cirko),furnished,not defined,not allowed,not defined,3,no,not defined,street,XIII," Újlipótváros, "," Újlipótváros, ",47.5180411,19.0543194
32043889," Kiszugló, XIV. kerület",28,100000.0,1,0,not defined,not defined,gáz (konvektor),not furnished,not defined,not defined,not defined,4,no,not defined,street,XIV," Kiszugló, "," Kiszugló, ",47.5150279,19.1147634
32043896," Alsórákos, XIV. kerület",40,110000.0,2,7,not defined,not defined,távfűtés,not defined,3.0,not allowed,not defined,more than 10,yes,not defined,street,XIV," Alsórákos, "," Alsórákos, ",46.0244547,25.4093738
32043919," Akácfa utca 24, VII. kerület",12,55000.0,3,not defined,newly built,more than 3m,gáz (cirko),furnished,not defined,not allowed,2016,not defined,yes,south,courtyard,VII," Akácfa utca 24, "," Akácfa utca 24, ",48.215727,22.644166703141124
32044000," Mária tér, I. kerület",66,280000.0,2,1,renovated,not defined,gáz (cirko),furnished,not defined,not allowed,not defined,not defined,not defined,south,street,I," Mária tér, "," Mária tér, ",47.50673195,19.03470099238806
32044022," Vízisport utca 15, XX. kerület",32,100000.0,1,0,renovated,less than 3m,nincs megadva,partly furnished,not defined,not allowed,not defined,2,no,not defined,garden,XX," Vízisport utca 15, "," Vízisport utca 15, ",47.4326305,19.0912504
32044026," Tátra utca, XIII. kerület",34,120000.0,1,4,renovated,less than 3m,gáz (cirko),not furnished,not defined,not allowed,not defined,5,yes,south east,street,XIII," Tátra utca, "," Tátra utca, ",47.4412207,19.1121415
32044049," Hungária körút, XIV. kerület",36,120000.0,2,not defined,not defined,not defined,nincs megadva,not defined,not defined,not defined,not defined,not defined,not defined,not defined,not defined,XIV," Hungária körút, "," Hungária körút, ",47.4941212,19.1089344
32044069," Óbuda-Óváros, III. kerület",12,45000.0,1,2,in good condition,less than 3m,nincs megadva,not defined,not defined,not defined,before 1950,not defined,not defined,not defined,not defined,III," Óbuda-Óváros, "," Óbuda-Óváros, ",47.5413944,19.0451407
32044079," Telepes utca, XIV. kerület",64,170000.0,2,0,renovated,not defined,gáz (cirko),furnished,not defined,not allowed,not defined,1,no,west,street,XIV," Telepes utca, "," Telepes utca, ",47.5294137,19.1202322
32044100," Telepes utca, XIV. kerület",30,110000.0,1,0,in good condition,less than 3m,gáz (cirko),partly furnished,not defined,allowed,between 1950-1980,2,no,south west,street,XIV," Telepes utca, "," Telepes utca, ",47.5294137,19.1202322
32044116," Baranyai utca, XI. kerület",44,135000.0,2,not defined,not defined,not defined,nincs megadva,not defined,not defined,not defined,not defined,not defined,not defined,not defined,not defined,XI," Baranyai utca, "," Baranyai utca, ",47.4722469,19.0490243
32044117," Vágóhíd utca, IX. kerület",45,155000.0,2,8,newly built,not defined,távfűtés,furnished,12.0,allowed,not defined,10,yes,not defined,courtyard,IX," Vágóhíd utca, "," Vágóhíd utca, ",46.2301787,20.4704173
32044121," Újszász utca, XVI. kerület",51,110000.0,3,2,in moderate condition,less than 3m,gáz (cirko),not defined,1.0,not defined,not defined,5,no,south,street,XVI," Újszász utca, "," Újszász utca, ",47.5111882,19.2145518
32044149," Mester utca, IX. kerület",34,140000.0,1,2,new,less than 3m,házközponti,furnished,13.0,not allowed,not defined,not defined,yes,south west,street,IX," Mester utca, "," Mester utca, ",47.4688869,19.083928
32044158," Bebo Károly utca, III. kerület",37,90000.0,1,3,renovated,not defined,távfűtés,furnished,2.0,not allowed,not defined,4,no,not defined,street,III," Bebo Károly utca, "," Bebo Károly utca, ",47.6004601,19.0466265
32044179," Petőfi Sándor utca 9, V. kerület",62,362820.0,2,1,renovated,not defined,nincs megadva,furnished,not defined,not allowed,not defined,not defined,no,not defined,street,V," Petőfi Sándor utca 9, "," Petőfi Sándor utca 9, ",47.6407201,18.8400547
32044206," Ürömi utca, II. kerület",55,170000.0,3,0,renovated,more than 3m,házközponti,not furnished,not defined,allowed,not defined,4,no,not defined,courtyard,II," Ürömi utca, "," Ürömi utca, ",47.5274797,19.0336971
32044269," Szendrő utca, XII. kerület",81,200000.0,4,1,in good condition,not defined,gáz (cirko),partly furnished,6.0,not allowed,not defined,3,no,not defined,not defined,XII," Szendrő utca, "," Szendrő utca, ",47.50291,19.0023464
32044322," Madách Imre út, VII. kerület",51,190000.0,3,2,renovated,less than 3m,házközponti,furnished,not defined,not defined,between 1950-1980,7,yes,west,garden,VII," Madách Imre út, "," Madách Imre út, ",47.497922,19.0577451
32044325," Külső-Terézváros, VI. kerület",130,327465.0,2,1,not defined,not defined,nincs megadva,furnished,not defined,allowed,not defined,not defined,no,not defined,street,VI," Külső-Terézváros, "," Külső-Terézváros, ",0,0
32044331," Mura utca 4, XIII. kerület",41,195000.0,2,2,newly built,less than 3m,házközponti egyedi méréssel,furnished,7.0,not allowed,2021,7,yes,not defined,garden,XIII," Mura utca 4, "," Mura utca 4, ",36.2587484,29.985204560872877
32044332," Honvéd utca, V. kerület",60,195000.0,2,3,renovated,not defined,házközponti egyedi méréssel,furnished,6.0,not defined,not defined,6,yes,not defined,not defined,V," Honvéd utca, "," Honvéd utca, ",46.2261258,20.4973537
32044367," Gébics utca, XII. kerület",35,110000.0,2,mezzanine,in good condition,less than 3m,"gáz (konvektor), cserépkályha",not furnished,4.0,not defined,not defined,2,no,not defined,garden,XII," Gébics utca, "," Gébics utca, ",47.4892937,19.0161269
32044385," Frangepán utca 6, XIII. kerület",57,120000.0,2,2,renovated,not defined,nincs megadva,partly furnished,not defined,not allowed,before 1950,not defined,no,not defined,street,XIII," Frangepán utca 6, "," Frangepán utca 6, ",47.5864222,19.089170831547527
32044387," Tallér utca, XIV. kerület",38,110000.0,1,3,renovated,less than 3m,gáz (cirko),furnished,not defined,not allowed,between 1950-1980,3,no,south west,garden,XIV," Tallér utca, "," Tallér utca, ",47.5127922,19.1034881
32044405," Őrlő utca, III. kerület",27,100000.0,1,not defined,in good condition,less than 3m,távfűtés,partly furnished,4.0,not allowed,between 1981-2000,4,no,not defined,street,III," Őrlő utca, "," Őrlő utca, ",47.567524,19.0539219
32044420," Andrássy út 68, VI. kerület",62,290256.0,2,5,newly built,not defined,nincs megadva,furnished,not defined,not allowed,not defined,not defined,yes,not defined,courtyard,VI," Andrássy út 68, "," Andrássy út 68, ",47.5075617,19.0663743
32044455," Kéthly Anna tér, VII. kerület",76,180000.0,3,2,renovated,more than 3m,gáz (cirko),partly furnished,not defined,not defined,not defined,not defined,yes,east,street,VII," Kéthly Anna tér, "," Kéthly Anna tér, ",47.49833005,19.065595000000002
32044466," Dembinszky utca, VII. kerület",36,90000.0,1,5,in good condition,less than 3m,gáz (cirko),furnished,not defined,allowed,between 1950-1980,5,yes,south west,street,VII," Dembinszky utca, "," Dembinszky utca, ",47.786751,19.9195115
32044508," Benczúr utca 1, VI. kerület",76,362820.0,2,3,renovated,not defined,nincs megadva,furnished,not defined,not allowed,not defined,not defined,yes,not defined,street,VI," Benczúr utca 1, "," Benczúr utca 1, ",47.5091428,19.0711408
32044514," Üllői út, IX. kerület",20,90000.0,1,not defined,renovated,more than 3m,gáz (cirko),by arrangement,not defined,not allowed,before 1950,not defined,yes,east,courtyard,IX," Üllői út, "," Üllői út, ",47.4673669,19.1208332
32044584," Báthory utca, V. kerület",70,214000.0,3,1,in good condition,more than 3m,házközponti,not defined,not defined,not defined,before 1950,not defined,yes,south,street,V," Báthory utca, "," Báthory utca, ",47.4558283,19.1426836
32044662," Viola utca, IX. kerület",60,150000.0,2,3,new,less than 3m,gáz (cirko),by arrangement,not defined,not allowed,between 2001-2010,4,yes,south west,street,IX," Viola utca, "," Viola utca, ",47.5375555,21.6184336
32044726," Petneházy utca 43-47, XIII. kerület",59,220000.0,3,not defined,new,less than 3m,házközponti egyedi méréssel,partly furnished,6.0,not allowed,not defined,not defined,yes,not defined,courtyard,XIII," Petneházy utca 43-47, "," Petneházy utca 43-47, ",47.5328188,19.0799435875
32044733," Felső erdősor, VI. kerület",34,120000.0,2,3,renovated,less than 3m,elektromos,furnished,not defined,allowed,before 1950,3,no,not defined,courtyard,VI," Felső erdősor, "," Felső erdősor, ",47.544214,19.39981
32044738," Fehérvári út, XI. kerület",33,120000.0,2,not defined,newly built,not defined,nincs megadva,not defined,4.0,not allowed,not defined,not defined,not defined,not defined,not defined,XI," Fehérvári út, "," Fehérvári út, ",47.4653006,19.0433334
32044753," Belső-Erzsébetváros, VII. kerület",34,130000.0,1,5,in good condition,not defined,házközponti,furnished,not defined,not allowed,not defined,not defined,yes,not defined,street,VII," Belső-Erzsébetváros, "," Belső-Erzsébetváros, ",0,0
32044786," Zámori utca, XI. kerület",86,200000.0,3,1,in good condition,less than 3m,gáz (cirko),not furnished,3.0,not allowed,not defined,2,no,not defined,garden,XI," Zámori utca, "," Zámori utca, ",47.4664198,19.0381602
32044823," Gellérthegy utca, I. kerület",72,180000.0,3,4,renovated,less than 3m,gáz (cirko),furnished,3.0,not allowed,before 1950,4,not defined,not defined,panoramic,I," Gellérthegy utca, "," Gellérthegy utca, ",47.4941317,19.036339
32044826," Eötvös utca, VI. kerület",65,150000.0,2,2,in good condition,less than 3m,gáz (cirko),partly furnished,not defined,not allowed,between 1950-1980,5,yes,south west,street,VI," Eötvös utca, "," Eötvös utca, ",47.5386558,21.632497
32044861," Kövér Lajos utca, XIV. kerület",40,150000.0,2,4,new,not defined,gáz (cirko),furnished,15.0,not defined,between 2001-2010,4,yes,west,courtyard,XIV," Kövér Lajos utca, "," Kövér Lajos utca, ",47.5176385,19.1097908
32044878," Barcsay utca, VII. kerület",29,110000.0,1,3,renovated,more than 3m,elektromos,partly furnished,not defined,not allowed,between 1950-1980,3,no,south west,courtyard,VII," Barcsay utca, "," Barcsay utca, ",47.438708,19.1614562
32044884," Törökvész út 3/b, II. kerület",57,130000.0,2,0,renovated,less than 3m,gáz (konvektor),furnished,not defined,not allowed,between 1950-1980,3,no,not defined,street,II," Törökvész út 3/b, "," Törökvész út 3/b, ",47.52341225,19.01489445
32044888," Nagymező utca 8, VI. kerület",78,120000.0,2,3,renovated,not defined,gáz (cirko),furnished,not defined,not allowed,before 1950,not defined,yes,not defined,courtyard,VI," Nagymező utca 8, "," Nagymező utca 8, ",47.502118249999995,19.061112502465647
32044900," Grassalkovich út, XXIII. kerület",201,450000.0,1,0,in good condition,not defined,padlófűtés,not furnished,not defined,not allowed,not defined,2,no,northwest,courtyard,XXIII," Grassalkovich út, "," Grassalkovich út, ",47.4068709,19.1122996
32044956," Huszár utca, VII. kerület",50,130000.0,2,2,renovated,not defined,nincs megadva,furnished,not defined,not allowed,not defined,not defined,no,not defined,courtyard,VII," Huszár utca, "," Huszár utca, ",46.2564756,20.1345413
32044992," Etele út 47, XI. kerület",33,100000.0,1,not defined,not defined,not defined,nincs megadva,not defined,not defined,not defined,not defined,not defined,not defined,not defined,not defined,XI," Etele út 47, "," Etele út 47, ",47.4635783,19.0356654
