ID,Address,Size,Price,Rooms,Floor,Quality,Inner Height,Heating,Furnished,Balcony,Pet,Year Built,Floors,Lift,Orientation,View,kerület
32040950," Pasaréti út, II. kerület",53,250000.0,3,not defined,not defined,not defined,nincs megadva,not defined,11.0,not defined,not defined,not defined,not defined,not defined,not defined,II
32040951," Andrássy út 86, VI. kerület",419,1218898.0,8,5,renovated,more than 3m,gáz (cirko),not furnished,31.0,not defined,before 1950,5,yes,not defined,panoramic,VI
32040956," Babér utca, XIII. kerület",58,140000.0,3,3,in moderate condition,less than 3m,távfűtés,not furnished,5.0,allowed,between 1981-2000,4,no,east,street,XIII
32040959," Corvin sétány, VIII. kerület",40,150000.0,1,2,new,less than 3m,házközponti egyedi méréssel,furnished,5.0,not allowed,2020,8,yes,west,street,VIII
32040979," Furulya utca, II. kerület",51,140000.0,2,not defined,not defined,not defined,nincs megadva,not defined,not defined,not defined,not defined,not defined,not defined,not defined,not defined,II
32040983," Andrássy út, VI. kerület",90,349000.0,4,3,renovated,more than 3m,házközponti,not furnished,not defined,not allowed,not defined,5,yes,not defined,street,VI
32041015," Lőportár köz, XIII. kerület",30,127000.0,1,2,newly built,less than 3m,házközponti egyedi méréssel,furnished,6.0,not allowed,2020,6,yes,south west,garden,XIII
32041065," Dohány utca 1, VII. kerület",38,160000.0,1,4,renovated,not defined,házközponti,furnished,not defined,not allowed,not defined,not defined,yes,not defined,street,VII
32041070," Fűrész utca, XIV. kerület",320,900000.0,1,0,in good condition,not defined,házközponti egyedi méréssel,not furnished,not defined,not allowed,not defined,4,no,not defined,street,XIV
32041074," Kézműves utca, XVIII. kerület",28,95000.0,1,4,renovated,less than 3m,távfűtés egyedi méréssel,not furnished,not defined,not allowed,between 1950-1980,4,yes,west,panoramic,XVIII
32041077," Egressy út, XIV. kerület",52,170000.0,2,3,renovated,less than 3m,gáz (cirko),not defined,5.0,not allowed,not defined,4,no,south west,street,XIV
32041098," Népszínház utca, VIII. kerület",47,125000.0,2,3,renovated,not defined,gáz (cirko),furnished,not defined,not allowed,not defined,3,no,west,not defined,VIII
32041104," Október 6. utca, V. kerület",95,700000.0,3,1,new,more than 3m,gáz (cirko),furnished,not defined,not allowed,before 1950,not defined,yes,not defined,street,V
32041107," Dohány utca, VII. kerület",52,130000.0,2,not defined,not defined,not defined,nincs megadva,not defined,not defined,not defined,not defined,not defined,not defined,not defined,not defined,VII
32041161," Kerepesi út, XIV. kerület",35,125000.0,2,3,renovated,not defined,távfűtés,furnished,not defined,not allowed,between 1950-1980,5,yes,not defined,garden,XIV
