ID,Address_x,Size,Price,Rooms,Floor,Quality,Inner_Height,Heating,Furnished,Balcony,Pet,Year_Built,Floors,Lift,Orientation,View,kerület,lat,lon,dist,Log(Price),LogPrice
32036273," Edömér utca, XI. kerület",38,110000.0,2,0,renovated,more than 3m,gáz (konvektor),furnished,not defined,not allowed,before 1950,6,yes,north east,garden,XI,47.4760745,19.0401211,2.8644358242365118,11.608235644774552,11.608235644774552
32036294," Baranyai utca, XI. kerület",56,140000.0,2,3,renovated,not defined,távfűtés,partly furnished,2.0,not allowed,between 1950-1980,5,yes,not defined,courtyard,XI,47.4722469,19.049024300000003,3.190232189933306,11.84939770159144,11.84939770159144
32036313," Üllői út, VIII. kerület",58,125000.0,2,2,renovated,less than 3m,házközponti,partly furnished,5.0,allowed,between 1950-1980,6,yes,not defined,street,VIII,47.4673669,19.1208332,6.492457501901306,11.736069016284437,11.736069016284437
32036328," Rumbach Sebestyén utca, VII. kerület",29,115000.0,1,2,renovated,more than 3m,gáz (konvektor),furnished,not defined,not allowed,not defined,2,no,not defined,courtyard,VII,47.497522,19.058943399999997,0.7607733250733358,11.652687407345388,11.652687407345388
32036330," Szugló utca, XIV. kerület",67,230000.0,3,3,newly built,less than 3m,"házközponti egyedi méréssel, fan-coil",by arrangement,25.0,not allowed,2021,4,yes,south,panoramic,XIV,47.5194781,19.118597,5.541002977028811,12.345834587905333,12.345834587905333
32036341," Rákosfalva park 4, XIV. kerület",37,110000.0,1,2,not defined,less than 3m,távfűtés,furnished,not defined,not allowed,between 1981-2000,more than 10,yes,south,street,XIV,47.506829700000004,19.1437212,7.061209618795171,11.608235644774552,11.608235644774552
32036342," Paulay Ede utca, VI. kerület",29,163733.0,1,2,renovated,more than 3m,elektromos,furnished,not defined,not defined,not defined,not defined,no,not defined,courtyard,VI,47.5029296,19.061324499999998,0.8685618484694275,12.00599233131427,12.00599233131427
32036353," Belváros, V. kerület",165,907050.0,4,4,renovated,more than 3m,gáz (cirko),furnished,not defined,not defined,before 1950,4,yes,not defined,panoramic,V,47.491917799999996,19.054693899999997,1.0576043791195622,13.717952854369468,13.717952854369468
32036362," Ónodi utca, X. kerület",54,110000.0,2,not defined,not defined,not defined,nincs megadva,not defined,6.0,not defined,not defined,not defined,not defined,not defined,not defined,X,47.4883458,19.134954800000003,6.524564826347469,11.608235644774552,11.608235644774552
32036406," Márton utca 28, IX. kerület",36,100000.0,2,1,renovated,more than 3m,nincs megadva,furnished,not defined,not allowed,between 1950-1980,3,no,south east,panoramic,IX,47.4799279,19.0813342,3.307919145679581,11.512925464970229,11.512925464970229
32036424," Felsőrákos, X. kerület",36,115000.0,1,0,renovated,less than 3m,gáz (konvektor),furnished,not defined,not allowed,before 1950,3,no,west,street,X,47.4952105,19.1744548,9.36244051465537,11.652687407345388,11.652687407345388
32036426," Felsőrákos, X. kerület",36,115000.0,1,0,renovated,less than 3m,gáz (konvektor),furnished,not defined,not allowed,before 1950,3,no,west,street,X,47.4952105,19.1744548,9.36244051465537,11.652687407345388,11.652687407345388
32036435," Nagy Ignác utca, V. kerület",75,195000.0,3,mezzanine,renovated,more than 3m,házközponti,by arrangement,not defined,allowed,before 1950,not defined,yes,not defined,not defined,V,47.5081673,19.052167999999998,0.8203750549522842,12.180754837545884,12.180754837545884
32036467," Alíz utca, XI. kerület",35,195000.0,2,5,not defined,less than 3m,házközponti,not furnished,10.0,not allowed,2020,7,yes,west,panoramic,XI,47.4589034,19.0483287,4.675311581513883,12.180754837545884,12.180754837545884
32036471," Bolgárkertész utca, XIV. kerület",36,100000.0,1,2,in good condition,less than 3m,gáz (konvektor),furnished,1.0,not defined,not defined,3,no,not defined,garden,XIV,47.5043755,19.1303447,6.037814558566117,11.512925464970229,11.512925464970229
32036510," Jósika utca, VII. kerület",50,140000.0,2,4,in good condition,not defined,gáz (konvektor),furnished,not defined,not allowed,not defined,4,not defined,not defined,street,VII,47.457007700000005,19.2333753,14.614012728814757,11.84939770159144,11.84939770159144
32036530," Óbester utca, IX. kerület",56,150000.0,2,3,in good condition,not defined,gáz (cirko),partly furnished,3.0,not allowed,not defined,4,no,not defined,not defined,IX,47.475296,19.0826763,3.75459275789328,11.918390573078392,11.918390573078392
32036537," Csengery utca, VI. kerület",120,195000.0,3,not defined,not defined,not defined,nincs megadva,not defined,not defined,not defined,not defined,not defined,not defined,not defined,not defined,VI,47.5051986,19.0669574,1.3492901977484697,12.180754837545884,12.180754837545884
32036538," Izabella utca, VI. kerület",62,130000.0,2,mezzanine,renovated,not defined,gáz (konvektor),furnished,not defined,not defined,not defined,4,not defined,not defined,not defined,VI,47.5025846,19.0739367,1.7965640508091352,11.77528972943772,11.77528972943772
32036556," Kapy utca, II. kerület",10,49000.0,1,not defined,not defined,not defined,nincs megadva,not defined,not defined,not defined,not defined,not defined,not defined,not defined,not defined,II,47.52912070000001,19.002938699999998,4.735273626746017,10.799575577092764,10.799575577092764
32036625," Budapart, XI. kerület",39,180000.0,2,2,not defined,less than 3m,házközponti egyedi méréssel,furnished,11.0,not allowed,2020,8,yes,west,garden,XI,47.4672088,19.0577275,3.7924370304867097,12.100712129872347,12.100712129872347
32036628," Budapart, XI. kerület",39,180000.0,2,2,not defined,less than 3m,házközponti egyedi méréssel,furnished,11.0,not allowed,2020,8,yes,west,garden,XI,47.4672088,19.0577275,3.7924370304867097,12.100712129872347,12.100712129872347
32036691," Szinva utca, VII. kerület",120,395000.0,4,2,renovated,more than 3m,"gáz (cirko), elektromos",furnished,2.0,not allowed,not defined,3,no,south east,street,VII,47.5036224,19.0879665,2.8570713381824855,12.886641043883259,12.886641043883259
32036742," Balázs park, XIV. kerület",52,130000.0,2,3,in good condition,less than 3m,távfűtés,not furnished,5.0,not allowed,between 1950-1980,5,no,south west,street,XIV,47.5290625,19.1007146,4.922019692838962,11.77528972943772,11.77528972943772
32036802," Szent László út 102, XIII. kerület",31,120000.0,1,1,newly built,less than 3m,házközponti egyedi méréssel,furnished,not defined,not allowed,2020,4,yes,not defined,street,XIII,47.53448768571428,19.089969114285715,4.784048266796869,11.695247021764184,11.695247021764184
32036820," Veres Pálné utca, V. kerület",34,100000.0,1,0,renovated,more than 3m,gáz (cirko),not furnished,not defined,not defined,not defined,not defined,not defined,not defined,street,V,47.4888665,19.05797,1.463497868216485,11.512925464970229,11.512925464970229
32036832," József körút 52-56, VIII. kerület",55,170000.0,2,3,renovated,more than 3m,"hőszivattyú, elektromos",furnished,not defined,not allowed,before 1950,5,yes,west,courtyard,VIII,47.49657,19.070507,1.6039974312349876,12.043553716032399,12.043553716032399
32036895," Bánya utca, XXI. kerület",34,90000.0,1,1,in good condition,not defined,távfűtés,not furnished,3.0,allowed,not defined,3,no,not defined,street,XXI,47.4165135,19.0703424,9.51026728145131,11.407564949312402,11.407564949312402
